(-0.0326519,0.0174985),(-0.0316769,0.0206748),(-0.0298893,0.0250383),(-0.0268865,0.030451),(-0.0221806,0.0366721),(-0.0152086,0.0433392),(-0.00529806,0.0499706),(0.00852968,0.0560003),(0.0284048,0.0608441),(0.0636244,0.063988),(0.12258,0.0650781),(0.0636244,0.063988),(0.0284048,0.0608441),(0.00852968,0.0560003),(-0.00529806,0.0499706),(-0.0152086,0.0433392),(-0.0221806,0.0366721),(-0.0268865,0.030451),(-0.0298893,0.0250383),(-0.0316769,0.0206748),(-0.0326519,0.0174985),(-0.0331139,0.0155763),(-0.0332472,0.0149335),(-0.0331139,0.0155763)
(-0.0331139,0.0155763),(-0.0326519,0.0174985),(-0.0316769,0.0206748),(-0.0298893,0.0250383),(-0.0268865,0.030451),(-0.0221806,0.0366721),(-0.0152086,0.0433392),(-0.00529806,0.0499706),(0.00852968,0.0560003),(0.0284048,0.0608441),(0.0636244,0.063988),(0.12258,0.0650781),(0.0636244,0.063988),(0.0284048,0.0608441),(0.00852968,0.0560003),(-0.00529806,0.0499706),(-0.0152086,0.0433392),(-0.0221806,0.0366721),(-0.0268865,0.030451),(-0.0298893,0.0250383),(-0.0316769,0.0206748),(-0.0326519,0.0174985),(-0.0331139,0.0155763),(-0.0332472,0.0149335)
(-0.0332472,0.0149335),(-0.0331139,0.0155763),(-0.0326519,0.0174985),(-0.0316769,0.0206748),(-0.0298893,0.0250383),(-0.0268865,0.030451),(-0.0221806,0.0366721),(-0.0152086,0.0433392),(-0.00529806,0.0499706),(0.00852968,0.0560003),(0.0284048,0.0608441),(0.0636244,0.063988),(0.12258,0.0650781),(0.0636244,0.063988),(0.0284048,0.0608441),(0.00852968,0.0560003),(-0.00529806,0.0499706),(-0.0152086,0.0433392),(-0.0221806,0.0366721),(-0.0268865,0.030451),(-0.0298893,0.0250383),(-0.0316769,0.0206748),(-0.0326519,0.0174985),(-0.0331139,0.0155763)
(-0.0331139,0.0155763),(-0.0332472,0.0149335),(-0.0331139,0.0155763),(-0.0326519,0.0174985),(-0.0316769,0.0206748),(-0.0298893,0.0250383),(-0.0268865,0.030451),(-0.0221806,0.0366721),(-0.0152086,0.0433392),(-0.00529806,0.0499706),(0.00852968,0.0560003),(0.0284048,0.0608441),(0.0636244,0.063988),(0.12258,0.0650781),(0.0636244,0.063988),(0.0284048,0.0608441),(0.00852968,0.0560003),(-0.00529806,0.0499706),(-0.0152086,0.0433392),(-0.0221806,0.0366721),(-0.0268865,0.030451),(-0.0298893,0.0250383),(-0.0316769,0.0206748),(-0.0326519,0.0174985)
(-0.0326519,0.0174985),(-0.0331139,0.0155763),(-0.0332472,0.0149335),(-0.0331139,0.0155763),(-0.0326519,0.0174985),(-0.0316769,0.0206748),(-0.0298893,0.0250383),(-0.0268865,0.030451),(-0.0221806,0.0366721),(-0.0152086,0.0433392),(-0.00529806,0.0499706),(0.00852968,0.0560003),(0.0284048,0.0608441),(0.0636244,0.063988),(0.12258,0.0650781),(0.0636244,0.063988),(0.0284048,0.0608441),(0.00852968,0.0560003),(-0.00529806,0.0499706),(-0.0152086,0.0433392),(-0.0221806,0.0366721),(-0.0268865,0.030451),(-0.0298893,0.0250383),(-0.0316769,0.0206748)
(-0.0316769,0.0206748),(-0.0326519,0.0174985),(-0.0331139,0.0155763),(-0.0332472,0.0149335),(-0.0331139,0.0155763),(-0.0326519,0.0174985),(-0.0316769,0.0206748),(-0.0298893,0.0250383),(-0.0268865,0.030451),(-0.0221806,0.0366721),(-0.0152086,0.0433392),(-0.00529806,0.0499706),(0.00852968,0.0560003),(0.0284048,0.0608441),(0.0636244,0.063988),(0.12258,0.0650781),(0.0636244,0.063988),(0.0284048,0.0608441),(0.00852968,0.0560003),(-0.00529806,0.0499706),(-0.0152086,0.0433392),(-0.0221806,0.0366721),(-0.0268865,0.030451),(-0.0298893,0.0250383)
(-0.0298893,0.0250383),(-0.0316769,0.0206748),(-0.0326519,0.0174985),(-0.0331139,0.0155763),(-0.0332472,0.0149335),(-0.0331139,0.0155763),(-0.0326519,0.0174985),(-0.0316769,0.0206748),(-0.0298893,0.0250383),(-0.0268865,0.030451),(-0.0221806,0.0366721),(-0.0152086,0.0433392),(-0.00529806,0.0499706),(0.00852968,0.0560003),(0.0284048,0.0608441),(0.0636244,0.063988),(0.12258,0.0650781),(0.0636244,0.063988),(0.0284048,0.0608441),(0.00852968,0.0560003),(-0.00529806,0.0499706),(-0.0152086,0.0433392),(-0.0221806,0.0366721),(-0.0268865,0.030451)
(-0.0268865,0.030451),(-0.0298893,0.0250383),(-0.0316769,0.0206748),(-0.0326519,0.0174985),(-0.0331139,0.0155763),(-0.0332472,0.0149335),(-0.0331139,0.0155763),(-0.0326519,0.0174985),(-0.0316769,0.0206748),(-0.0298893,0.0250383),(-0.0268865,0.030451),(-0.0221806,0.0366721),(-0.0152086,0.0433392),(-0.00529806,0.0499706),(0.00852968,0.0560003),(0.0284048,0.0608441),(0.0636244,0.063988),(0.12258,0.0650781),(0.0636244,0.063988),(0.0284048,0.0608441),(0.00852968,0.0560003),(-0.00529806,0.0499706),(-0.0152086,0.0433392),(-0.0221806,0.0366721)
(-0.0221806,0.0366721),(-0.0268865,0.030451),(-0.0298893,0.0250383),(-0.0316769,0.0206748),(-0.0326519,0.0174985),(-0.0331139,0.0155763),(-0.0332472,0.0149335),(-0.0331139,0.0155763),(-0.0326519,0.0174985),(-0.0316769,0.0206748),(-0.0298893,0.0250383),(-0.0268865,0.030451),(-0.0221806,0.0366721),(-0.0152086,0.0433392),(-0.00529806,0.0499706),(0.00852968,0.0560003),(0.0284048,0.0608441),(0.0636244,0.063988),(0.12258,0.0650781),(0.0636244,0.063988),(0.0284048,0.0608441),(0.00852968,0.0560003),(-0.00529806,0.0499706),(-0.0152086,0.0433392)
(-0.0152086,0.0433392),(-0.0221806,0.0366721),(-0.0268865,0.030451),(-0.0298893,0.0250383),(-0.0316769,0.0206748),(-0.0326519,0.0174985),(-0.0331139,0.0155763),(-0.0332472,0.0149335),(-0.0331139,0.0155763),(-0.0326519,0.0174985),(-0.0316769,0.0206748),(-0.0298893,0.0250383),(-0.0268865,0.030451),(-0.0221806,0.0366721),(-0.0152086,0.0433392),(-0.00529806,0.0499706),(0.00852968,0.0560003),(0.0284048,0.0608441),(0.0636244,0.063988),(0.12258,0.0650781),(0.0636244,0.063988),(0.0284048,0.0608441),(0.00852968,0.0560003),(-0.00529806,0.0499706)
(-0.00529806,0.0499706),(-0.0152086,0.0433392),(-0.0221806,0.0366721),(-0.0268865,0.030451),(-0.0298893,0.0250383),(-0.0316769,0.0206748),(-0.0326519,0.0174985),(-0.0331139,0.0155763),(-0.0332472,0.0149335),(-0.0331139,0.0155763),(-0.0326519,0.0174985),(-0.0316769,0.0206748),(-0.0298893,0.0250383),(-0.0268865,0.030451),(-0.0221806,0.0366721),(-0.0152086,0.0433392),(-0.00529806,0.0499706),(0.00852968,0.0560003),(0.0284048,0.0608441),(0.0636244,0.063988),(0.12258,0.0650781),(0.0636244,0.063988),(0.0284048,0.0608441),(0.00852968,0.0560003)
(0.00852968,0.0560003),(-0.00529806,0.0499706),(-0.0152086,0.0433392),(-0.0221806,0.0366721),(-0.0268865,0.030451),(-0.0298893,0.0250383),(-0.0316769,0.0206748),(-0.0326519,0.0174985),(-0.0331139,0.0155763),(-0.0332472,0.0149335),(-0.0331139,0.0155763),(-0.0326519,0.0174985),(-0.0316769,0.0206748),(-0.0298893,0.0250383),(-0.0268865,0.030451),(-0.0221806,0.0366721),(-0.0152086,0.0433392),(-0.00529806,0.0499706),(0.00852968,0.0560003),(0.0284048,0.0608441),(0.0636244,0.063988),(0.12258,0.0650781),(0.0636244,0.063988),(0.0284048,0.0608441)
(0.0284048,0.0608441),(0.00852968,0.0560003),(-0.00529806,0.0499706),(-0.0152086,0.0433392),(-0.0221806,0.0366721),(-0.0268865,0.030451),(-0.0298893,0.0250383),(-0.0316769,0.0206748),(-0.0326519,0.0174985),(-0.0331139,0.0155763),(-0.0332472,0.0149335),(-0.0331139,0.0155763),(-0.0326519,0.0174985),(-0.0316769,0.0206748),(-0.0298893,0.0250383),(-0.0268865,0.030451),(-0.0221806,0.0366721),(-0.0152086,0.0433392),(-0.00529806,0.0499706),(0.00852968,0.0560003),(0.0284048,0.0608441),(0.0636244,0.063988),(0.12258,0.0650781),(0.0636244,0.063988)
(0.0636244,0.063988),(0.0284048,0.0608441),(0.00852968,0.0560003),(-0.00529806,0.0499706),(-0.0152086,0.0433392),(-0.0221806,0.0366721),(-0.0268865,0.030451),(-0.0298893,0.0250383),(-0.0316769,0.0206748),(-0.0326519,0.0174985),(-0.0331139,0.0155763),(-0.0332472,0.0149335),(-0.0331139,0.0155763),(-0.0326519,0.0174985),(-0.0316769,0.0206748),(-0.0298893,0.0250383),(-0.0268865,0.030451),(-0.0221806,0.0366721),(-0.0152086,0.0433392),(-0.00529806,0.0499706),(0.00852968,0.0560003),(0.0284048,0.0608441),(0.0636244,0.063988),(0.12258,0.0650781)
