(1.22623,0.000196993)
(1.22623,0.000196993)
(1.22623,0.000196993)
(1.22623,0.000196993)
(1.22623,0.000196993)
(1.22623,0.000196993)
(1.22623,0.000196993)
(1.22623,0.000196993)
(1.22623,0.000196993)
(1.22623,0.000196993)
(1.22623,0.000196993)
(1.22623,0.000196993)
(1.22623,0.000196993)
(1.22623,0.000196993)
(1.22623,0.000196993)
(1.22623,0.000196993)
(1.22623,0.000196993)
(1.22623,0.000196993)
(1.22623,0.000196993)
(1.22623,0.000196993)
(1.22623,0.000196993)
(1.22623,0.000196993)
(1.22623,0.000196993)
(1.22623,0.000196993)
(1,0)
(1,0)
(1,0)
(1,0)
(1,0)
(1,0)
(1,0)
(1,0)
(1,0)
(1,0)
(1,0)
(1,0)
(1,0)
(1,0)
(1,0)
(1,0)
(1,0)
(1,0)
(1,0)
(1,0)
(1,0)
(1,0)
(1,0)
(1,0)
(1,0)
(1,0)
(1,0)
(1,0)
(1,0)
(1,0)
(1,0)
(1,0)
(1,0)
(1,0)
(1,0)
(1,0)
(1,0)
(1,0)
(1,0)
(1,0)
(1,0)
(1,0)
(1,0)
(1,0)
(1,0)
(1,0)
(1,0)
(1,0)
