(-0.00944733,-0.0364173),(-0.0119676,-0.034895),(-0.0151095,-0.0325284),(-0.0184814,-0.0291944),(-0.0216044,-0.0248787),(-0.0239746,-0.0197455),(-0.0251574,-0.014176),(-0.024884,-0.00875074),(-0.0229966,-0.00416425),(-0.0139201,-0.00108548),(0.458333,0),(-0.0139201,-0.00108548),(-0.0229966,-0.00416425),(-0.024884,-0.00875074),(-0.0251574,-0.014176),(-0.0239746,-0.0197455),(-0.0216044,-0.0248787),(-0.0184814,-0.0291944),(-0.0151095,-0.0325284),(-0.0119676,-0.034895),(-0.00944733,-0.0364173),(-0.00782711,-0.0372493),(-0.00726938,-0.0375117),(-0.00782711,-0.0372493)
(-0.00782711,-0.0372493),(-0.00944733,-0.0364173),(-0.0119676,-0.034895),(-0.0151095,-0.0325284),(-0.0184814,-0.0291944),(-0.0216044,-0.0248787),(-0.0239746,-0.0197455),(-0.0251574,-0.014176),(-0.024884,-0.00875074),(-0.0229966,-0.00416425),(-0.0139201,-0.00108548),(0.458333,0),(-0.0139201,-0.00108548),(-0.0229966,-0.00416425),(-0.024884,-0.00875074),(-0.0251574,-0.014176),(-0.0239746,-0.0197455),(-0.0216044,-0.0248787),(-0.0184814,-0.0291944),(-0.0151095,-0.0325284),(-0.0119676,-0.034895),(-0.00944733,-0.0364173),(-0.00782711,-0.0372493),(-0.00726938,-0.0375117)
(-0.00726938,-0.0375117),(-0.00782711,-0.0372493),(-0.00944733,-0.0364173),(-0.0119676,-0.034895),(-0.0151095,-0.0325284),(-0.0184814,-0.0291944),(-0.0216044,-0.0248787),(-0.0239746,-0.0197455),(-0.0251574,-0.014176),(-0.024884,-0.00875074),(-0.0229966,-0.00416425),(-0.0139201,-0.00108548),(0.458333,0),(-0.0139201,-0.00108548),(-0.0229966,-0.00416425),(-0.024884,-0.00875074),(-0.0251574,-0.014176),(-0.0239746,-0.0197455),(-0.0216044,-0.0248787),(-0.0184814,-0.0291944),(-0.0151095,-0.0325284),(-0.0119676,-0.034895),(-0.00944733,-0.0364173),(-0.00782711,-0.0372493)
(-0.00782711,-0.0372493),(-0.00726938,-0.0375117),(-0.00782711,-0.0372493),(-0.00944733,-0.0364173),(-0.0119676,-0.034895),(-0.0151095,-0.0325284),(-0.0184814,-0.0291944),(-0.0216044,-0.0248787),(-0.0239746,-0.0197455),(-0.0251574,-0.014176),(-0.024884,-0.00875074),(-0.0229966,-0.00416425),(-0.0139201,-0.00108548),(0.458333,0),(-0.0139201,-0.00108548),(-0.0229966,-0.00416425),(-0.024884,-0.00875074),(-0.0251574,-0.014176),(-0.0239746,-0.0197455),(-0.0216044,-0.0248787),(-0.0184814,-0.0291944),(-0.0151095,-0.0325284),(-0.0119676,-0.034895),(-0.00944733,-0.0364173)
(-0.00944733,-0.0364173),(-0.00782711,-0.0372493),(-0.00726938,-0.0375117),(-0.00782711,-0.0372493),(-0.00944733,-0.0364173),(-0.0119676,-0.034895),(-0.0151095,-0.0325284),(-0.0184814,-0.0291944),(-0.0216044,-0.0248787),(-0.0239746,-0.0197455),(-0.0251574,-0.014176),(-0.024884,-0.00875074),(-0.0229966,-0.00416425),(-0.0139201,-0.00108548),(0.458333,0),(-0.0139201,-0.00108548),(-0.0229966,-0.00416425),(-0.024884,-0.00875074),(-0.0251574,-0.014176),(-0.0239746,-0.0197455),(-0.0216044,-0.0248787),(-0.0184814,-0.0291944),(-0.0151095,-0.0325284),(-0.0119676,-0.034895)
(-0.0119676,-0.034895),(-0.00944733,-0.0364173),(-0.00782711,-0.0372493),(-0.00726938,-0.0375117),(-0.00782711,-0.0372493),(-0.00944733,-0.0364173),(-0.0119676,-0.034895),(-0.0151095,-0.0325284),(-0.0184814,-0.0291944),(-0.0216044,-0.0248787),(-0.0239746,-0.0197455),(-0.0251574,-0.014176),(-0.024884,-0.00875074),(-0.0229966,-0.00416425),(-0.0139201,-0.00108548),(0.458333,0),(-0.0139201,-0.00108548),(-0.0229966,-0.00416425),(-0.024884,-0.00875074),(-0.0251574,-0.014176),(-0.0239746,-0.0197455),(-0.0216044,-0.0248787),(-0.0184814,-0.0291944),(-0.0151095,-0.0325284)
(-0.0151095,-0.0325284),(-0.0119676,-0.034895),(-0.00944733,-0.0364173),(-0.00782711,-0.0372493),(-0.00726938,-0.0375117),(-0.00782711,-0.0372493),(-0.00944733,-0.0364173),(-0.0119676,-0.034895),(-0.0151095,-0.0325284),(-0.0184814,-0.0291944),(-0.0216044,-0.0248787),(-0.0239746,-0.0197455),(-0.0251574,-0.014176),(-0.024884,-0.00875074),(-0.0229966,-0.00416425),(-0.0139201,-0.00108548),(0.458333,0),(-0.0139201,-0.00108548),(-0.0229966,-0.00416425),(-0.024884,-0.00875074),(-0.0251574,-0.014176),(-0.0239746,-0.0197455),(-0.0216044,-0.0248787),(-0.0184814,-0.0291944)
(-0.0184814,-0.0291944),(-0.0151095,-0.0325284),(-0.0119676,-0.034895),(-0.00944733,-0.0364173),(-0.00782711,-0.0372493),(-0.00726938,-0.0375117),(-0.00782711,-0.0372493),(-0.00944733,-0.0364173),(-0.0119676,-0.034895),(-0.0151095,-0.0325284),(-0.0184814,-0.0291944),(-0.0216044,-0.0248787),(-0.0239746,-0.0197455),(-0.0251574,-0.014176),(-0.024884,-0.00875074),(-0.0229966,-0.00416425),(-0.0139201,-0.00108548),(0.458333,0),(-0.0139201,-0.00108548),(-0.0229966,-0.00416425),(-0.024884,-0.00875074),(-0.0251574,-0.014176),(-0.0239746,-0.0197455),(-0.0216044,-0.0248787)
(-0.0216044,-0.0248787),(-0.0184814,-0.0291944),(-0.0151095,-0.0325284),(-0.0119676,-0.034895),(-0.00944733,-0.0364173),(-0.00782711,-0.0372493),(-0.00726938,-0.0375117),(-0.00782711,-0.0372493),(-0.00944733,-0.0364173),(-0.0119676,-0.034895),(-0.0151095,-0.0325284),(-0.0184814,-0.0291944),(-0.0216044,-0.0248787),(-0.0239746,-0.0197455),(-0.0251574,-0.014176),(-0.024884,-0.00875074),(-0.0229966,-0.00416425),(-0.0139201,-0.00108548),(0.458333,0),(-0.0139201,-0.00108548),(-0.0229966,-0.00416425),(-0.024884,-0.00875074),(-0.0251574,-0.014176),(-0.0239746,-0.0197455)
(-0.0239746,-0.0197455),(-0.0216044,-0.0248787),(-0.0184814,-0.0291944),(-0.0151095,-0.0325284),(-0.0119676,-0.034895),(-0.00944733,-0.0364173),(-0.00782711,-0.0372493),(-0.00726938,-0.0375117),(-0.00782711,-0.0372493),(-0.00944733,-0.0364173),(-0.0119676,-0.034895),(-0.0151095,-0.0325284),(-0.0184814,-0.0291944),(-0.0216044,-0.0248787),(-0.0239746,-0.0197455),(-0.0251574,-0.014176),(-0.024884,-0.00875074),(-0.0229966,-0.00416425),(-0.0139201,-0.00108548),(0.458333,0),(-0.0139201,-0.00108548),(-0.0229966,-0.00416425),(-0.024884,-0.00875074),(-0.0251574,-0.014176)
(-0.0251574,-0.014176),(-0.0239746,-0.0197455),(-0.0216044,-0.0248787),(-0.0184814,-0.0291944),(-0.0151095,-0.0325284),(-0.0119676,-0.034895),(-0.00944733,-0.0364173),(-0.00782711,-0.0372493),(-0.00726938,-0.0375117),(-0.00782711,-0.0372493),(-0.00944733,-0.0364173),(-0.0119676,-0.034895),(-0.0151095,-0.0325284),(-0.0184814,-0.0291944),(-0.0216044,-0.0248787),(-0.0239746,-0.0197455),(-0.0251574,-0.014176),(-0.024884,-0.00875074),(-0.0229966,-0.00416425),(-0.0139201,-0.00108548),(0.458333,0),(-0.0139201,-0.00108548),(-0.0229966,-0.00416425),(-0.024884,-0.00875074)
(-0.024884,-0.00875074),(-0.0251574,-0.014176),(-0.0239746,-0.0197455),(-0.0216044,-0.0248787),(-0.0184814,-0.0291944),(-0.0151095,-0.0325284),(-0.0119676,-0.034895),(-0.00944733,-0.0364173),(-0.00782711,-0.0372493),(-0.00726938,-0.0375117),(-0.00782711,-0.0372493),(-0.00944733,-0.0364173),(-0.0119676,-0.034895),(-0.0151095,-0.0325284),(-0.0184814,-0.0291944),(-0.0216044,-0.0248787),(-0.0239746,-0.0197455),(-0.0251574,-0.014176),(-0.024884,-0.00875074),(-0.0229966,-0.00416425),(-0.0139201,-0.00108548),(0.458333,0),(-0.0139201,-0.00108548),(-0.0229966,-0.00416425)
(-0.0229966,-0.00416425),(-0.024884,-0.00875074),(-0.0251574,-0.014176),(-0.0239746,-0.0197455),(-0.0216044,-0.0248787),(-0.0184814,-0.0291944),(-0.0151095,-0.0325284),(-0.0119676,-0.034895),(-0.00944733,-0.0364173),(-0.00782711,-0.0372493),(-0.00726938,-0.0375117),(-0.00782711,-0.0372493),(-0.00944733,-0.0364173),(-0.0119676,-0.034895),(-0.0151095,-0.0325284),(-0.0184814,-0.0291944),(-0.0216044,-0.0248787),(-0.0239746,-0.0197455),(-0.0251574,-0.014176),(-0.024884,-0.00875074),(-0.0229966,-0.00416425),(-0.0139201,-0.00108548),(0.458333,0),(-0.0139201,-0.00108548)
(-0.0139201,-0.00108548),(-0.0229966,-0.00416425),(-0.024884,-0.00875074),(-0.0251574,-0.014176),(-0.0239746,-0.0197455),(-0.0216044,-0.0248787),(-0.0184814,-0.0291944),(-0.0151095,-0.0325284),(-0.0119676,-0.034895),(-0.00944733,-0.0364173),(-0.00782711,-0.0372493),(-0.00726938,-0.0375117),(-0.00782711,-0.0372493),(-0.00944733,-0.0364173),(-0.0119676,-0.034895),(-0.0151095,-0.0325284),(-0.0184814,-0.0291944),(-0.0216044,-0.0248787),(-0.0239746,-0.0197455),(-0.0251574,-0.014176),(-0.024884,-0.00875074),(-0.0229966,-0.00416425),(-0.0139201,-0.00108548),(0.458333,0)
